ma_don_vi,ma_bao_cao,ma_chi_tieu,fld_code,ky_du_lieu,gia_tri
UBND.0019,10628953,CT_UBND.0105,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0106,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0106,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0106,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0106,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0107,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0107,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0107,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0107,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0108,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0108,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0108,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0108,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0109,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0109,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0109,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0109,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0110,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0110,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0110,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0110,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0111,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0111,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0111,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0111,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0112,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0112,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0112,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0112,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0113,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0113,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0113,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0113,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0114,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0114,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0114,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0114,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0115,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0115,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0115,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0115,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0116,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0116,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0116,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0116,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0117,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0117,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0117,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0117,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0118,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0118,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0118,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0118,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0119,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0119,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0119,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0119,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0120,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0120,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0120,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0120,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0121,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0121,FN01,2025-07-10,
UBND.0019,10628953,CT_UBND.0121,FN04,2025-07-10,
UBND.0019,10628953,CT_UBND.0121,FN03,2025-07-10,
UBND.0019,10628953,CT_UBND.0122,FN02,2025-07-10,
UBND.0019,10628953,CT_UBND.0122,FN01,2025-07-10,
